company_id,name,description,company_size,state,country,city,zip_code,address,url
1033,Accenture,"Accenture is a leading global professional services company that helps the world’s leading businesses, governments and other organizations build their digital core, optimize their operations, accelerate revenue growth and enhance citizen services—creating tangible value at speed and scale.
 
We are a talent and innovation-led company serving clients in more than 120 countries. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise and global delivery capability. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities.

This LinkedIn company page is moderated. When engaging with Accenture, we encourage everyone to:

- Use common courtesy and be respectful of others.
- Create your own original content and avoid content that you know to be fraudulent.
- Never repost someone else's copyrighted work, unless you have permission.
- Never post personal, identifying, or confidential information.

We reserve the right to delete comments or posts we deem to be:

- Profane, obscene, inappropriate, offensive, abusive material.
- Spam, repeated comments and commercial messages and personal advertisements.
- Discriminatory or that contain hateful speech of any kind regarding age, gender, race, religion, nationality, sexual orientation, gender identity or disability.
- Threats; personal attacks; abusive, defamatory, derogatory, or inflammatory language; or stalking or harassment of any individual, entity or organization.
- False, inaccurate, libelous, or otherwise misleading in any way.",7,0,IE,Dublin 2,0,Grand Canal Harbour,https://www.linkedin.com/company/accenture
1038,Deloitte,"Deloitte drives progress. Our firms around the world help clients become leaders wherever they choose to compete. Deloitte invests in outstanding people of diverse talents and backgrounds and empowers them to achieve more than they could elsewhere. Our work combines advice with action and integrity. We believe that when our clients and society are stronger, so are we. 

Deloitte refers to one or more of Deloitte Touche Tohmatsu Limited (“DTTL”), its global network of member firms, and their related entities. DTTL (also referred to as “Deloitte Global”) and each of its member firms are legally separate and independent entities. DTTL does not provide services to clients. Please see www.deloitte.com/about to learn more.

The content on this page contains general information only, and none of Deloitte Touche Tohmatsu Limited, its member firms, or their related entities (collectively the “Deloitte Network”) is, by means of this publication, rendering professional advice or services. Before making any decision or taking any action that may affect your finances or your business, you should consult a qualified professional adviser. No entity in the Deloitte Network shall be responsible for any loss whatsoever sustained by any person who relies on content from this page.",7,0,OO,Worldwide,0,Worldwide,https://www.linkedin.com/company/deloitte
1400,Thomson Reuters,"Thomson Reuters is the world’s leading provider of news and information-based tools to professionals. Our worldwide network of journalists and specialist editors keep customers up to speed on global developments, with a particular focus on legal, regulatory and tax changes.    

Our customers operate in complex arenas that move society forward — tax, law, compliance, government, media. In a disruptive digital age, we help professionals reinvent themselves.  

Thomson Reuters shares are listed on the Toronto and New York Stock Exchanges (symbol: TRI).",7,ON,CA,Toronto,M5H 3G6,19 Duncan Street ,https://www.linkedin.com/company/thomson-reuters
1586,Amazon,"Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. We are driven by the excitement of building technologies, inventing products, and providing services that change lives. We embrace new ways of doing things, make decisions quickly, and are not afraid to fail. We have the scope and capabilities of a large company, and the spirit and heart of a small one.

Together, Amazonians research and develop new technologies from Amazon Web Services to Alexa on behalf of our customers: shoppers, sellers, content creators, and developers around the world.

Our mission is to be Earth's most customer-centric company. Our actions, goals, projects, programs, and inventions begin and end with the customer top of mind.

You'll also hear us say that at Amazon, it's always ""Day 1.""​ What do we mean? That our approach remains the same as it was on Amazon's very first day - to make smart, fast decisions, stay nimble, invent, and focus on delighting our customers.",7,WA,US,Seattle,98109,2127 7th Ave.,https://www.linkedin.com/company/amazon
2622,Caterpillar Inc.,"For nearly 100 years, we’ve been helping customers build a better, more sustainable world and are committed and contributing to a reduced-carbon future. Our innovative products and services, backed by our global dealer network, provide exceptional value that helps customers succeed. 

With 2023 sales and revenues of $67.1 billion, Caterpillar Inc. is the world’s leading manufacturer of construction and mining equipment, off-highway diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. 

Caterpillar does business on every continent, principally operating through three primary segments – Construction Industries, Resource Industries and Energy & Transportation – and providing financing and related services through our Financial Products segment. ",7,Texas,US,Irving,0,0,https://www.linkedin.com/company/caterpillar-inc
2691,Manulife,"Manulife is a leading international financial services group that helps people make their decisions easier and lives better. With our global headquarters in Toronto, we operate as Manulife across our offices in Canada, Asia, and Europe, and primarily as John Hancock in the United States. We have more than 40,000 employees, over 116,000 agents serving ~34 million customers worldwide, and over $1.3 trillion in assets under management and administration.
Visit www.Manulife.com to find out more.

For Manulife terms of use, please visit http://bit.ly/SM_Terms
",7,Ontario,CA,Toronto,M4W,200 Bloor St E,https://www.linkedin.com/company/manulife-financial
3067,Tech Mahindra,"Tech Mahindra offers technology consulting and digital solutions to global enterprises across industries, enabling transformative scale at unparalleled speed. With 150,000+ professionals across 90+ countries helping 1100+ clients, TechM provides a full spectrum of services including consulting, information technology, enterprise applications, business process services, engineering services, network services, customer experience & design services, AI & analytics, and cloud & infrastructure services. It is the first Indian company in the world to have been awarded the Sustainable Markets Initiative’s Terra Carta Seal, in recognition of actively leading the charge to create a climate and nature-positive future.

Tech Mahindra (NSE: TECHM) is part of the Mahindra Group, founded in 1945, one of the largest and most admired multinational federations of companies.

Visit www.techmahindra.com to #ScaleAtSpeed",7,Maharashtra,IN,Pune,411004,Erandwane,https://www.linkedin.com/company/tech-mahindra
4312,Trend Micro,"We’re a global cybersecurity leader, helping to make the world safe for exchanging digital information. Fueled by decades of security expertise, global threat research, and continuous innovation, our cybersecurity platform protects hundreds of thousands of organizations and millions of individuals across clouds, networks, devices, and endpoints.
				 
As a leader in cloud and enterprise cybersecurity, our platform delivers a powerful range of advanced threat defense techniques optimized for environments like AWS, Microsoft, and Google, and central visibility for better, faster detection and response.
				 
Our global threat research team delivers unparalleled intelligence and insights that power our cybersecurity platform and help protect organizations around the world from 100s of millions of threats daily.
				 
We have 7,000 employees across 65 countries, singularly focused on security and passionate about making the world a safer and better place.
				 
We enable organizations to simplify and secure their connected world. 
				
Trend Micro’s “Trenders” are passionate about doing the right thing to make the world a safer and better place. 
				
Please follow our social media community guidelines: http://bit.ly/Vexfle a",6,Japan,JP,Tokyo,151-0053,2 Chome-1-1 Yoyogi,https://www.linkedin.com/company/trend-micro
4728,NICE,"NICE (Nasdaq: NICE) is the worldwide leading provider of both cloud and on-premises enterprise software solutions that empower organizations to make smarter decisions based on advanced analytics of structured and unstructured data. NICE helps organizations of all sizes deliver better customer service, ensure compliance, combat fraud and safeguard citizens. Over 25,000 organizations in more than 150 countries, including over 85 of the Fortune 100 companies, are using NICE solutions. www.nice.com.",6,New Jersey,US,Hoboken,07030,221 River St,https://www.linkedin.com/company/nice-systems
8493,YASH Technologies,"YASH Technologies is a consulting-led transformation partner with a proven track record of helping customers address their current and prospective digital transformation challenges. Recognized as ""Large enough to transform and small enough to care,"" our customer-centricity and robust value systems have helped us earn the trust of our clients globally and enabled us to be the ""Digital Partner of choice"" of 75+ global F500 companies. We combine battle-tested consulting, technology, advisory, and outsourcing services capabilities ""Glocally"" with a consultative  & value-centric approach to enable clients to achieve unprecedented performance and revenue growth at optimized costs. We are incredibly passionate about our mission - driving customer success, engaging with our associates, and giving back to the communities in which we live. We have fostered an environment that empowers associates and allows them to actualize themselves while enabling them to deliver exceptional experiences to our customers and partners.  

We deeply treasure the trust evolve as an organization to bring our business, industry, and technology experience to develop and optimize innovative business-driven technology solutions for our customers. Regarding our vision, mission and values, YASH is focused on building long-term relationships and working with clients as an extended team. As such, YASH has created a culture where people feel empowered to make a difference; where every YASHian is passionate about innovation and collaboration; and where we take care of each other, our clients, our partners, and our communities just because it is the right thing to do.
",6,IL,US,East Moline,61244,605,https://www.linkedin.com/company/yash-technologies
9826,Wood,"Wood is a global leader in consulting and engineering, delivering critical solutions across energy and materials markets. We provide consulting, projects and operations solutions in 60 countries, employing around 35,000 people. ",7,0,GB,Aberdeen,AB12 3LE,Sir Ian Wood House,https://www.linkedin.com/company/woodplc
15506,Synechron,"At Synechron, we believe in the power of digital to transform businesses for the better. Our global consulting firm combines creativity and innovative technology to deliver industry-leading digital solutions. Synechron’s progressive technologies and optimization strategies span end-to-end Artificial Intelligence, Consulting, Digital, Cloud & DevOps, Data, and Software Engineering, servicing an array of noteworthy financial services and technology firms. Through research and development initiatives in our FinLabs we develop solutions for modernization, from Artificial Intelligence and Blockchain to Data Science models, Digital Underwriting, mobile-first applications and more. Over the last 20+ years, our company has been honored with multiple employer awards, recognizing our commitment to our talented teams. With top clients to boast about, Synechron has a global workforce of 14,000+, and has 55 offices in 20 countries within key global markets. For more information on the company, please visit our  website: www.synechron.com.",7,NY,US,New York,10036,"11 Times Square, Suite 3301",https://www.linkedin.com/company/synechron
22581,Sia,"Sia is a next-generation, global management consulting group—born digital, augmented by data, enhanced by creativity, and driven by responsibility. We partner with clients to resolve challenges and capitalize on opportunities. We believe that in today’s world of change and disruption, optimism is a force multiplier. ",5,Île-de-France,FR,Paris,75008,21 Rue de Berri,https://www.linkedin.com/company/sia-partners
23458,Digital Federal Credit Union,"DCU – Digital Federal Credit Union – is a top-20 credit union with more than one million members residing in all 50 states, and over $10 Billion in assets, headquartered in Marlborough, Massachusetts. DCU has experienced substantial growth for several years because of its innovative history and as an early adopter of advanced technologies that meet our members’ individual needs. As an organization under new CEO leadership, DCU is entering an exciting phase of continued growth through member experience excellence. 
The DCU vision of ‘All Members Achieve Their Financial Goals Collaboratively’ means we want to be the catalyst and the cheerleader for our members’ long-term financial success. At DCU, we are transforming the banking experience for members by focusing on innovative design and delivery. The power of the promise, Banking - the DCU Way, is foundational to decision making, design, and experience delivery.

What exactly is the DCU Way? The strongly held belief that people, ethics, and purpose are all equally important to DCU’s success. These three principles guide the decisions and behavior of everyone at DCU:
•	People Come First
•	Do the Right Thing
•	Make a Difference

Visit our career page to learn more about our company culture and open positions. We offer benefits such as subsidized health coverage and on-site gym membership, up to seven percent 401k contribution match, a hybrid work model, and free meals in our cafeterias for on-site employees.",5,Massachusetts,US,Marlborough,01752,220 Donald Lynch Blvd,https://www.linkedin.com/company/dcucreditunion
27292,US Tech Solutions,"USTECH SOLUTIONS is the largest privately owned diversity workforce partner with a global footprint. For 20+ years, we have partnered with leading MSPs and some of the world’s largest enterprises to deliver a flexible workforce. We serve Fortune 500 giants and growing businesses alike, reinventing the role of humans in a digital workforce.

‘Reinventing Human’ is about connecting you with top talent and seamlessly integrating new hires into your programs through our next gen AI powered Talent platforms. As the largest private diversity supplier in the US, we champion inclusion and unlock hidden potential. We work with leading MSPs and are a trusted strategic partner to the world’s top brands.

At USTECH SOLUTIONS, we're inverting the talent hiring pyramid by offering a range of solutions from curated talent pools, workforce management services, and IT services resourcing to IC compliance. Our legacy and close affinity to the computing industry has equipped us with the expertise and vision to provision AI platform solutions that help organizations to innovate faster.

Considering Statement of Work? Meet US Tech Digital (ustechdigital.com). We're helping businesses achieve digital leadership through our tailored SOW solutions, utilizing market-leading technology products and our proprietary in-house developed platform solutions. 

Explore our full range of services and solutions by visiting our website: ustechsolutions.com",5,NJ,US,New Jersey,07302,"10, Exchange Place",https://www.linkedin.com/company/us-tech-solutions
28526,The Select Group,"The Select Group (TSG) is a privately held technology consulting firm headquartered in Raleigh, North Carolina. Since 1999, we’ve been at the forefront of delivering end-to-end consulting services to clients across diverse industries including Communications, Consumer and Industrials, Energy and Utilities, Federal, Financial Services, Healthcare, and Technology, throughout the U.S. and Canada. We help you solve your toughest challenges, inspire digital innovation and drive meaningful results. 

We are committed to supporting your needs, helping you to address ever-evolving trends across various industries. Our service areas—Cloud & Infrastructure, Cybersecurity, Data & AI, Digital Transformation, Learning & Development, and Project Management & Agile—are designed to create long-term success by aligning with your business goals and advancing to meet future demands.
",5,North Carolina,US,Raleigh,27606,0,https://www.linkedin.com/company/the-select-group
30898,Prodapt,"Prodapt is the largest specialized player in the Connectedness industry. As an AI-first strategic technology partner, Prodapt provides consulting, business reengineering, and managed services for the largest telecom and tech enterprises building networks and digital experiences of tomorrow. Prodapt has been recognized by Gartner as a Large, Telecom-Native, Regional IT Service Provider. 
A “Great Place To Work® Certified™” company, Prodapt employs over 6,000 technology and domain experts in 30+ countries. Prodapt is part of the 130-year-old business conglomerate The Jhaver Group, which employs over 32,000 people across 80+ locations globally. 
",6,Tamilnadu,IN,Chennai,600032,"No. 25 A&B, South Phase 5th cross street",https://www.linkedin.com/company/prodapt
47040,Mindlance,"Founded in 1999, Mindlance is one of the largest diversity-owned staffing firms in the US and has been on SIA’s list of Fastest Growing US Staffing Firms for 10 years. Mindlance has also been recognized as one of the consistently best performing partners to industry-leading MSP programs including Allegis, Kelly, TAPFIN, PROUnlimited, Pontoon, GRI, WorkforceLogiq and Agile-1.

What started with contingent staffing has developed to a comprehensive portfolio of workforce solutions. Along with industry specific, talent-centric staffing across a range of specializations- Technology, Engineering, Scientific, Clinical Research, Digital, Creative, Marketing, Profession, Mindlance provides Managed Recruitment services- RPO and Direct + Diverse Sourcing, and Pay+ Services- EoR/Payroll, IC Compliance and AoR.

Mindlance is also generating alternative talent pipelines that prioritize diversity through three Diverse Talent Acceleration offerings: (1) RebootTalent, a diverse returning talent acceleration service (2) Mindlance Diversphere, a private diverse talent pool aggregated from a network of diversity partnerships and (3) Quintrix Solutions, an upskilling recruit-train-deploy service.

With a year-over-year growth rate of 20% and an annual revenue of over $400 million and growing, the Mindlance story is one of calculable achievement, made meaningful by the commitment to grow a mindful way that creates balance in the work and societal ecosystem.
Visit www.mindlance.com to learn more about us and our latest job openings.

STAFFING INDUSTRY ANALYSTS RECOGNITIONS:
Fastest Growing U.S. Staffing Firms (2022, 2021, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011)
Largest U.S. Staffing Firms (2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015)
Largest Diversity-Owned U.S. Staffing Firms (2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015)
Largest IT Staffing Firms (2022, 2021, 2020, 2019, 2018, 2017)
Largest Clinical & Scientific Staffing Firms (2022, 2021, 2020, 2019, 2018, 2017)
",5,NJ,US,Union,07083,1095 Morris Avenue,https://www.linkedin.com/company/mindlance
