company_id,speciality
1412607,Buildings
1412607,Industrial
1412607,Infrastructure
1412607,Energy
1412607,Transportation
1412607,Environment
1412607,Construction Management
1412607,Design & Engineering
1412607,Program Management
1412607,Strategic Consulting
1412607,and Operations & Maintenance
1412607,Technology
1412607,IT
729713,Web Site Design Service
729713,Web Site Development
729713,Website Design
729713,Business Services
729713,Computer & Internet Services
729713,Computer Programming
729713,CMS Designers
729713,Graphic Design Studios
729713,Internet
729713,Internet Search Engines
729713,Internet-Related Services
729713,Marketing Agencies
729713,WordPress Websites
729713,social media content startegy
729713,Webflow
729713,UI/UX design
1400,Intelligent Information
1400,Accounting
1400,Legal
1400,Tax
1400,Media
1400,Technology
1400,News
128707,Publisher Monetization
128707,Native Advertising
128707,Personalization
128707,Content Recommendations
128707,Content Marketing
128707,Paid Media
128707,Advertising
128707,Video
128707,Advertising Technology
128707,Online Advertising
9826,Engineering
9826,Project Management
9826,Construction Management
9826,Procurement
9826,Production Support
9826,Maintenance Management
9826,Power Generation
9826,Offshore
9826,Onshore
9826,Pipeline
9826,Refining & Chemicals
9826,Industrial
9826,Automation & Control
9826,LNG
9826,Renewable Energy
9826,Hydrogen
9826,Carbon Capture
9826,Decarbonisation
9826,Digitalisation
9826,Circular Economy
9826,Life Sciences
9826,Minerals and Metals
88024317,AI
88024317,Customer Support
13184848,Media Intelligence
13184848,Media Monitoring
13184848,Social Media Monitoring
13184848,Media Analytics
13184848,Social Listening
13184848,Issues Monitoring
13184848,E-ssuances
13184848,Campaign Monitoring
13184848,Media Monitoring Reports
13184848,PR monitoring
13184848,Data Analytics
1586,e-Commerce
1586,Retail
1586,Operations
1586,Internet
4728,Big data capture and analysis
4728,Multi-channel interactions Recording
4728,Financial crime solutions
4728,Customer experience management solutions
4728,Security and public safety solutions
4728,Workforce Optimization
4728,Customer Journey Solutions
4728,CCaaS
4728,Cloud CX
4728,Omnichannel Recording
4728,Workforce Engagement Management
4728,Real-time Authentication
210064,Banking & Financial Services
210064,Energy
210064,Insurance
210064,Healthcare Payer
210064,Capital Market
210064,Healthcare Provider
210064,Aerospace
210064,Hi-Tech
210064,Automotive
210064,Hospitality
210064,Chemical
210064,Life Science & Pharmaceuticals
210064,Consumer Goods
210064,Retail
210064,Telecom
210064,Transport & Logistics
210064,digital transformation
210064,business consulting
210064,professional services
210064,artificial intelligence
10536896,Data strategy creation and implementation
10536896,Data technology selection and training
10536896,Data Literacy
10536896,Data Culture 
10536896,AI
10536896,Data and Analytics
10536896,Data Sustainability
10536896,Sustainable Staffing
10536896,Data Staffing
10536896,Talent Solutions
10536896,Executive Search
68354921,Brand Experience
68354921,Innovation
68354921,Customer Experience
68354921,Creative
68354921,Social Media
68354921,Design
68354921,Technology
68354921,Strategy
68354921,User Experience
68354921,Content
333967,experts
333967,lawyers
333967,doctors
333967,mechanics
333967,vets
333967,tech support
333967,antique appraisers
333967,therapists
333967,financial planners
333967,veterinarian
333967,mental health
333967,wellness
853311,Blockchain
853311,AI
853311,IoT
853311,Machine Learning
853311,Custom Software
853311,Enterprise Softwares
853311,dApps
853311,blockchaindevelopment
853311,technology
853311,startups
853311,bigdata
853311,softwaredesign
853311,agilesoftwaredevelopmen
853311,mobileapplications
276981,tax
276981,transaction tax
276981,indirect tax
276981,tax compliance
276981,software
276981,VAT
276981,value added tax
276981,sales and use
276981,managed services
276981,returns outsourcing
276981,implementation
276981,corporate tax
276981,consulting
276981,sales and use tax
276981,tax determination
276981,tax data management
276981,document management
276981,technology
276981,tax technology
276981,tax software
17998520,Computer Vision
17998520,Data Annotation
17998520,Sensor Fusion
17998520,Machine Learning
17998520,Autonomous Driving
17998520,APIs
17998520,Ground Truth Data
17998520,Training Data
17998520,Deep Learning
17998520,Robotics
17998520,Drones
17998520,NLP
17998520,Document Processing
96692,IT Staffing
96692,Mobile Web Development
96692,Enterprise Apps
96692,"Mobile (iPhone, Android)"
96692,Salesforce
96692,ServiceNow Development
96692,ServiceNow
96692,Chatbots
96692,Artificial Intelligence
96692,AWS
96692,Cloud Computing
96692,MuleSoft
96692,Microsoft Azure
96692,Custom Application Development
96692,Robotic Process Automation
96692,Data Management
5270612,Marketing Science
5270612,Technology
5270612,Media Services
5270612,Creative Services
5270612,Market Research
5270612,Business Support Services
96951872,Prompt Engineering
96951872,Ad Operations
96951872,Data Entry
96951872,Data Engineering
96951872,Digital Marketing
96951872,Finance And Accounting
96951872,Data Analysis
96951872,Project Management
96951872,Technical Support
96951872,Social Media
96951872,Content Creation
96951872,Sales
23458,Banking
23458,Investments
23458,Real Estate
23458,Insurance
77960624,Origination
77960624,At scale
77960624,Content automation
77960624,Content personalisation
77960624,In-housing
419519,Microsoft
419519,AWS
419519,Oracle
419519,EC-Council
419519,VMware
419519,Citrix
419519,RedHat
419519,Cisco
419519,PECB
419519,ISACA
419519,(ISC)2
419519,Checkpoint
419519,PMI
419519,DevOps
419519,BCS
419519,Cloud Security Alliance
419519,CWNP
419519,Axelos
419519,The Open Group
419519,APMG
419519,Comptia
419519,SUSE
419519,IIBA
419519,LPI
419519,SAP
419519,Scrumstudy
419519,Cloudera
419519,Dell EMC
419519,Android ATC
419519,Certnexus
419519,many more...
13258533,Artificial Intelligence
13258533,Deep Learning
13258533,Natural Language Processing
13258533,Customer-first Approach
13258533,B2B
13258533,SAAS
13258533,Automation
13258533,Product
13258533,Business Operations
13258533,CSAT
13258533,Enterprise
13258533,Enterprise Software
13258533,India
13258533,United States
13258533,Analytics
13258533,Call Automation
13258533,Inbound
13258533,Outbound
13258533,Collections
13258533,ARM Industry
13258533,Multichannel
13258533,ConversationalAI
13258533,AI
13258533,SMS 
13258533,Chatbot
3091855,Broadcast solutions
3091855,Live positions & studios
3091855,Custom video solutions
3091855,Ready-to-publish video
3091855,User generated content
3091855,Livestream
210122,Software Consulting and Development
210122,Information Technology
210122,SharePoint
210122,Office 365
210122,Azure
210122,Business Intelligence
210122,ERP Integration
210122,Intelligent Enterprise Chatbots
210122,Power BI
210122,Business Process Management
210122,Intranets
210122,Communication & Collaboration Applications
210122,IT Services
210122,IT managed services
210122,Migration and Modernization
210122,Consulting
210122,Data and AI
210122,IoT
210122,Cognitive Search
210122,Advanced analytics
210122,Employee Experience
210122,Customer Experience
76623,The Leader in Cloud Enterprise Content Management
76623,Document and email management for law firms of all sizes
76623,Client portals for external sharing and collaboration
76623,"Security & Compliance: ISO 27001, Soc 2 Type 2, HIPAA, FINRA, SEC"
28686355,OPEN SOURCE TECHNOLOGIES
28686355,ERP SOLUTIONS
28686355,ECOMMERCE SOLUTIONS
28686355,CRM
28686355,WEB DESIGN AND GRAPHICS DESIGN
28686355,WEB APPLICATION DEVELOPMENT
28686355,GAME DEVELOPMENT
28686355,DIGITAL MARKETING
28686355,NETWORK ADMINISTRATION SERVICES
28686355,CONSULTANCY
28686355,ENTERPRISES SOFTWARE
28686355,HARDWARE AND NETWORK SUPPORT
28686355,ADVERTISEMENT
28686355,MOBILE APP DEVELOPMENT
47040,Technology Staffing
47040,VLSI Staffing
47040,Professional Staffing
47040,Embedded Software Staffing
47040,Digital / Creative Staffing
47040,Scientific Staffing
47040,Engineering / Validation Staffing
47040,Office & Administrative Staffing
47040,BPO
47040,RPO
47040,SOW - Technology
47040,Global Payroll
47040,Global EoR
47040,Global AoR
47040,Recruit Train Deploy
76976620,Remote developers
76976620,Freelancing
76976620,Hire developers
76976620,Software engineering
76976620,Talent marketplace
1046969,Value-Based Care
1046969,Physician Engagement
1046969,Care Delivery
1046969,Accountable Care Models
1046969,Healthcare
1046969,Population Health Services Organization
1046969,Healthcare Operations
1046969,Population Health 
1046969,Value Based Care
1046969,Direct Contracting
1046969,Medicare Advantage
1046969,Healthcare Transformation
1046969,ACO REACH
146873,"IT Recruitment, Search and Selection, Quantitative Recruitment"
3067,Telecom &  IT Consulting
3067,Telecom Security Consulting
3067,BSS /OSS
3067,Network Technology Solutions & Services
3067,Network Design & Engineering
3067,Next Generation Networks
3067,Mobility Solutions
3067,Consulting
3067,Solution Integration
3067,IMS
3067,BSG
3067,blockchain
3067,Artificial Intelligence
3067,Metaverse
1646190,Frontend Developers
1646190,JavaScript Developers
1646190,Test Specialist
1646190,Automation
1646190,React
1646190,Node.js
1646190,Java Backend Developer
1646190,Vue
