industry_id,industry_name
4,Software Development
6,"Technology, Information and Internet"
10,Legal Services
11,Business Consulting and Services
14,Hospitals and Health Care
15,Pharmaceutical Manufacturing
16,Veterinary Services
34,Food and Beverage Services
41,Banking
42,Insurance
43,Financial Services
44,Real Estate
45,Investment Banking
48,Construction
55,Machinery Manufacturing
68,Higher Education
80,Advertising Services
83,Printing Services
84,Information Services
91,Consumer Services
96,IT Services and IT Consulting
98,Public Relations and Communications Services
104,Staffing and Recruiting
105,Professional Training and Coaching
123,Outsourcing and Offshoring Consulting
124,
126,Media Production
132,E-Learning Providers
1285,Internet Marketplace Platforms
1594,"Technology, Information and Media"
1810,Professional Services
1855,IT System Design Services
1862,Marketing Services
1999,Education
2458,Data Infrastructure and Analytics
3102,IT System Custom Software Development
3231,Information Technology & Services
3242,Engineering Services
