job_id,company_id,title,description,max_salary,med_salary,min_salary,pay_period,formatted_work_type,location,applies,original_listed_time,remote_allowed,views,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,scraped
3931995254,15454502.0,Prompt Engineer,"Staff4Me is currently seeking a talented and detail-oriented Prompt Engineer to join our team. As a Prompt Engineer, you will be responsible for designing, implementing, and maintaining prompt solutions for our clients. You will collaborate with cross-functional teams to deliver high-quality and efficient prompt systems.Responsibilities

 Design and develop prompt solutions based on clients' requirements Implement and integrate prompt systems with existing infrastructure Perform prompt testing and quality assurance Troubleshoot and resolve prompt issues Maintain documentation of prompt configurations, changes, and incidents Stay up-to-date with the latest prompt technologies and best practices Collaborate with clients and stakeholders to gather requirements and provide technical guidance 

Requirements

 3-5 years of experience as a Prompt Engineer or similar role Experience with prompt software and systems Strong knowledge of prompt technologies and best practices Proficient in prompt design, implementation, and testing Strong troubleshooting and problem-solving skills Excellent communication and interpersonal skills Ability to work well in a team and collaborate effectively with stakeholders Bachelor's degree in a relevant field such as Computer Science or Software Engineering Relevant certifications in prompt technologies are preferred",,,,,Full-time,India,1004.0,1716340123000,1.0,6798.0,https://www.linkedin.com/jobs/view/3931995254/?trk=jobs_biz_prem_srch,https://apply.workable.com/j/DB22A637EE,ComplexOnsiteApply,1745577266000,,Entry level,,1716340123000,apply.workable.com,0,FULL_TIME,,,1739999881
3939466319,4312.0,NLP / Prompt Engineer (VicOne_Automotive Security),"Join Trend ‧ Join New Generation

趨勢科技 - 全球雲端資安領航者 / 全亞洲最大軟體公司 / 企業版圖橫跨五大洲 / 趨勢全球研發基地在台灣 

===============================================================

Job Responsibilities

Develop and optimize LLM prompts and/or standalone models for NLP applications. Collaborate with data engineers and software developers to meet business needs. Keep studying state-of-the-art AI & NLP techniques to improve prompt, models and algorithms. Use legacy and on-the-edge ML models and algorithms in production environments. Design data flows at a feasible scale. Collaborate and teamwork. Conduct experiments, analyze data, and provide insights to improve the performance and effectiveness of the NLP applications. Troubleshoot and debug issues related to prompt engineering, fine-tuning and the use of local models. Document and communicate research findings, methodologies, and technical specifications to team members.

Required Skills

Experience in AI/ML and NLP techniques, including but not exclusive to neural networks, NLP and NLU.Seasoned experience in Python, TensorFlow / PyTorch, Scikit learn, REGEX and/or equivalent libraries and frameworks. The job encourages Python, but Clojure, LISP, R can also be used.Solid understanding of natural language processing, data analysis, statistical modeling, and experimental design.Familiarity with prompt generation techniques and algorithms.Working knowledge of a version control system, such as git.Strong problem-solving and analytical skills.Ability to work collaboratively in a teamwork.Ability to prioritize workload effectively.Self-driven commitment to producing quality work.

Plus

Strong programming skills in Python, Clojure and/or R.Good knowledge in any of RDBMS, Graph KB and vector DB. Knowledge in ontology and triplets.Good knowledge in building and using graph knowledge base.Familiarity with AWS, GCP, or Azure.Familiarity with Azure OpenAI or OpenAI API.

===============================================================

連結智慧 守護世界 --- Connected Intelligence for Securing a Connected World

",,,,,Full-time,"Taipei, Taipei City, Taiwan",127.0,1717586537000,,1215.0,https://www.linkedin.com/jobs/view/3939466319/?trk=jobs_biz_prem_srch,https://trendmicro.wd3.myworkdayjobs.com/en-US/External/job/Taipei/NLP---Prompt-Engineer--VicOne-Automotive-Security-_R0006325-1?source=LinkedIn,OffsiteApply,1743119470000,,Entry level,,1740527470000,trendmicro.wd3.myworkdayjobs.com,0,FULL_TIME,,,1740627591
3967994817,,Hiring For Gen AI/Prompt Engineer,"

Role: Gen AI/Prompt EngineerDesired ProfileSkills: Design and develop generative AI models and algorithms using GPT, VAE, and GANs, AI models and projects, cloud platforms such as AWS, Azure, and GCP, Python RNotice Period: 15-30 daysEducation: BE, Btech, ME, Mtech, MCALocation: Bangalore/Pune/Chennai/Kolkata/HyderabadEmail: career@krazymantra.com",,,,,Full-time,"Madhavaram, Tamil Nadu, India",201.0,1720227384000,,997.0,https://www.linkedin.com/jobs/view/3967994817/?trk=jobs_biz_prem_srch,https://www.timesjobs.com/candidate/JobDetailView.html?from=submit&adId=70525167&bc=EXT&sequence=0&counter=1&utm_source=LinkedIn&utm_medium=referral&utm_campaign=LI_Feed&siteparams=301p,OffsiteApply,1741805698000,,Entry level,,1720227384000,www.timesjobs.com,0,FULL_TIME,,,1739999812
4037151117,28686355.0,AI prompt Engineer,"Coders Brain is a global leader in its services, digital, and business solutions that partners with its clients to simplify, strengthen, and transform their businesses. We ensure the highest levels of certainty and satisfaction through a deep-set commitment to our clients, comprehensive industry expertise, and a global network of innovation and delivery centers.

Location: Remote  (Work From Home)

Position: Permanent with Coders Brain Technology Pvt. Ltd.

Notice Period: 20 Days Maximum

Experience- 3 + Yrs

Responsibilities

Mandatory:

 Prompt Development: Create prompts that effectively guide the AI model to produce desired

outputs in various domains and scenarios. Design prompts to capture user intent and elicit the

desired information or action.

 Prompt Optimization: Continuously iterate and refine prompts to improve the quality and

performance of the conversational AI system. Analyze user interactions and feedback to identify

areas for prompt enhancement and adjust them accordingly.

 Prompt Testing and Evaluation: Conduct thorough testing and evaluation of prompts to assess

their effectiveness and efficiency. This involves analyzing the generated responses, identifying

areas for improvement, and iterating on the prompts to enhance performance.

 Research and Development: Stay up to date with the latest advancements in natural language

processing (NLP) and machine learning (ML). Explore and experiment with new techniques,

methodologies, and tools to enhance prompt engineering processes.

 Data Analysis: Analyze user interactions, model outputs, and performance metrics to identify

patterns, trends, and areas for improvement. Use data-driven insights to optimize prompts and

make informed decisions about prompt modifications.

Secondary / Preferred

 Collaboration and Communication: Collaborate closely with cross-functional teams, including

researchers, data scientists, and software engineers, to ensure prompt quality and alignment with

project goals. Effectively communicate prompt requirements, challenges, and solutions to

stakeholders.

 Documentation: Create and maintain comprehensive documentation related to prompt

development, including guidelines, best practices, and standard operating procedures. This will

ensure consistency and facilitate knowledge sharing within the organization.

 Stay Up-to-Date: Keep abreast of the latest advancements and research in AI and natural

language processing. Stay updated on industry trends, emerging technologies, and innovative

approaches to prompt engineering.

Educational Qualification

Bachelor's or Master's degree in Computer Science, Linguistics, or a related field. A strong

background in natural language processing is preferred.

Solid understanding of machine learning principles and algorithms, particularly in the context of

language models.

Strong understanding of natural language processing (NLP) concepts, techniques, and

algorithms.

Proficiency in programming languages such as Python and experience with relevant libraries

and frameworks (e.g., TensorFlow, PyTorch, spaCy).

Strong analytical and problem-solving skills, with the ability to evaluate and improve prompt

performance based on data analysis.

Prior experience with conversational AI systems or chatbot development is highly desirable.Excellent written and verbal communication skills, with the ability to convey complex technical

concepts to both technical and non-technical stakeholders.

Attention to detail and ability to meticulously review and refine prompts for optimal performance.Strong collaboration and teamwork skills, with the ability to work effectively in a fast-paced and

dynamic environment.

GCP Certification/ AWS Certification is preferred.

Skills: ai,machine learning,nlp",,,,,Full-time,India,704.0,1725604390000,1.0,3838.0,https://www.linkedin.com/jobs/view/4037151117/?trk=jobs_biz_prem_srch,https://app.pyjamahr.com/careers?company=Coders%20Brain%20Technology%20Pvt.%20Ltd.&job_id=49253&company_uuid=1555DC39F6&source=LINKEDIN&apply_now=true,ComplexOnsiteApply,1743316358000,,Mid-Senior level,,1725604390000,app.pyjamahr.com,0,FULL_TIME,,,1739999812
4055264240,210122.0,PROMPT ENGINEER,"Prompt Engineer

Location: Hyderabad

Experience: 3 years

Job Type: Permanent

Click here to know more

Whats the opportunity?

Acuvate is looking for an experienced SharePoint Lead. In this role, you will get to work with a dynamic and highly skilled team to design and implement solutions that deliver business value to our some of our Fortune 500 customers. If you are someone with good leadership skills who can drive projects and are excited about solving challenging problems, then you should apply soon!

Role Overview

As a Prompt Engineer, you will be responsible for designing, experimenting with, and refining prompts that interact with AI language models to yield precise, relevant, and high-quality outputs. You will work closely with developers, data scientists, and product teams to ensure the models respond effectively to a variety of user inputs and business needs. This role requires a unique blend of creativity, problem-solving, and technical aptitude to fine-tune interactions with AI systems.

Key Responsibilities

Prompt Design & Optimization: Develop, test, and optimize text prompts that maximize the efficiency, accuracy, and relevance of outputs from large language models.Experimentation & Iteration: Run experiments using different prompt variations, analyze the outputs, and refine the prompts to achieve desired outcomes.Problem Solving: Collaborate with cross-functional teams (data scientists, developers, product managers) to understand user needs and solve specific problems using prompt engineering techniques.Documentation & Reporting: Maintain detailed documentation of prompt testing processes, findings, and performance improvements for future reference.

Qualifications & Skills

Strong Language & Communication Skills: Excellent command of written language and an ability to craft clear, structured prompts for various use cases.Technical Proficiency: Basic understanding of how AI models (e.g., GPT, BERT) function. Experience with tools such as Python, APIs, or ML frameworks is a plus.Critical Thinking & Problem Solving: Ability to experiment with and troubleshoot prompts for optimization, analyze outputs, and continuously iterate on designs.Attention to Detail: Strong analytical skills to ensure outputs are accurate and relevant, with the ability to make data-driven decisions.Experience: Prior work in AI, machine learning, natural language processing, or a related field is preferred.

Nice to Have

Knowledge of AI frameworks or programming languages (Python, TensorFlow, PyTorch).Experience with conversational agents, chatbots, or language model applications.Familiarity with tools such as OpenAIs GPT, Azure Open AI, or similar platforms.",,,,,Full-time,"Hyderabad, Telangana, India",74.0,1729363574000,,441.0,https://www.linkedin.com/jobs/view/4055264240/?trk=jobs_biz_prem_srch,https://www.timesjobs.com/candidate/JobDetailView.html?from=submit&adId=70683135&bc=EXT&sequence=0&counter=1&utm_source=LinkedIn&utm_medium=referral&utm_campaign=LI_Feed&siteparams=301p,OffsiteApply,1741459793000,,Entry level,,1729363574000,www.timesjobs.com,0,FULL_TIME,,,1739999812
4079912360,,Prompt Engineer实习生,"职位来源于实习僧。

职位描述 1、根据业务需求，配合技术同学进行模型训练、数据筛选、文本标注、模型迭代及效果评估，与产品技术共同合作推进模型优化； 2、充分理解业务需求，能设计和构建合适的Prompt 3、负责线上数据分析、对语言模型进行调优等； 4、深入理解实际业务场景需求，完成文本相关新功能创作迭代。 职位要求 1、本科以上学历，熟悉人工智能各方向技术，并有在各场景上应用的知识储备，具备AIGC相关产品背景优先； 2、具备丰富的实践经历，熟练使用chatgpt、claude等大模型 3、具备强大的业务理解能力，站在应用场景和目标视角，以终为始去完成需求； 4、具备产品化思维，理解模型能力边界、优化方向；清晰拆解客户需求并定义问题，完成业务-技术的语言转换； 5、对AIGC赛道有热情，熟悉模型时代前沿进展，对toC产品有了解，认知多元化，有自驱学习力，乐于接受新理念，学习能力强，能适应创业公司的节奏，有事业进取心。 6、葡萄牙语专业优先；对应语言流利并且对语言对应国家的本土文化有一定认知，有海外留学生活经历优先；

职位薪资：

150-200/天",,,,,Internship,"Xuhui District, Shanghai, China",3.0,1732002075000,,22.0,https://www.linkedin.com/jobs/view/4079912360/?trk=jobs_biz_prem_srch,https://www.shixiseng.com/intern/inn_kr9meg9glpvl?utm_source=LinkedIn_xml&utm_campaign=LinkedIn,OffsiteApply,1741765287000,,Internship,,1732002075000,www.shixiseng.com,0,INTERNSHIP,,,1740627515
4086072602,,prompt engineer实习生-北京,该职位来源于猎聘 一款面向海外市场的低幼儿在线教育产品正在招募prompt engineer实习生，欢迎英文优秀、有产品思维、能够熟练使用Midjourney、Stable Diffusion、ComfyUI、Runway、pika 等 AIGC 工具的你加入！ 岗位职责： 1.根据项目制作需求，协助负责4-6岁儿童线上教育课程的prompt提示词编写和图像模型训练； 2.协助优化AI产出课程内容的效果； 3.其他课程内容制作相关的工作。 任职要求： 1.需有AI生图经验，能够使用Midjourney、Stable Diffusion、ComfyUI、Runway、pika 等 AIGC 工具，熟练操作视频剪辑工具； 2.英语沟通流畅，有海外留学生活经历加分； 3.拥有良好的视觉审美和出色的创意能力； 4.作品集优先展示AI能力。,150.0,,120.0,MONTHLY,Full-time,"Beijing, Beijing, China",2.0,1733020956000,,13.0,https://www.linkedin.com/jobs/view/4086072602/?trk=jobs_biz_prem_srch,https://m.liepin.com/job/1971127695.shtml?s=r&mscid=ly_h5_01,OffsiteApply,1742784298000,,Entry level,,1733020956000,m.liepin.com,0,FULL_TIME,CNY,BASE_SALARY,1740627667
4086078056,29777535.0,prompt engineer实习生-北京,该职位来源于猎聘 一款面向海外市场的低幼儿在线教育产品正在招募prompt engineer实习生，欢迎英文优秀、有产品思维、能够熟练使用Midjourney、Stable Diffusion、ComfyUI、Runway、pika 等 AIGC 工具的你加入！ 岗位职责： 1.根据项目制作需求，协助负责4-6岁儿童线上教育课程的prompt提示词编写和图像模型训练； 2.协助优化AI产出课程内容的效果； 3.其他课程内容制作相关的工作。 任职要求： 1.需有AI生图经验，能够使用Midjourney、Stable Diffusion、ComfyUI、Runway、pika 等 AIGC 工具，熟练操作视频剪辑工具； 2.英语沟通流畅，有海外留学生活经历加分； 3.拥有良好的视觉审美和出色的创意能力； 4.作品集优先展示AI能力。,150.0,,120.0,MONTHLY,Full-time,"Beijing, Beijing, China",1.0,1733020977000,,5.0,https://www.linkedin.com/jobs/view/4086078056/?trk=jobs_biz_prem_srch,https://m.liepin.com/job/1971127669.shtml?s=r&mscid=ly_h5_01,OffsiteApply,1742784290000,,Entry level,,1733020977000,m.liepin.com,0,FULL_TIME,CNY,BASE_SALARY,1740627667
4098338877,4728.0,Prompt Engineer,"At NICE, we don’t limit our challenges. We challenge our limits. Always. We’re ambitious. We’re game changers. And we play to win. We set the highest standards and execute beyond them. And if you’re like us, we can offer you the ultimate career opportunity that will light a fire within you.

The Prompt Engineer optimizes prompts to generative AI models across NICE's Illuminate applications. As part of the Illuminate Research team, the Prompt Engineer works with several groups in the business to help our applications deliver the highest quality customer experience.

The Prompt Engineer partners with global development teams to help diagnose and resolve prompt-based issues. This includes helping to define and execute tests for LLM-based systems that are difficult to evaluate with traditional test automation tools. The Prompt Engineer also helps educate the development teams on advances in prompt engineering and helps update production prompts to evolving industry best practices.

When a customer needs to address novel requirements with a custom prompt, the Prompt Engineer partners with customer-facing teams such as Professional Services and Product Management to capture the customer's needs and develop a robust, well-tested prompting solution. This includes devising and executing custom test plans, as well as presenting quantitative test results to internal stakeholders.

The Prompt Engineer also works with other members of the research team to evaluate new techniques and models. Data collection is a big part of this work, coordinating internal domain experts and external labeling teams to build high-quality datasets. The Prompt Engineer also builds cloud-based proof-of-concept applications to help evaluate and demonstrate new AI technology.

Responsibilities

 Review production prompts for problems and potential improvements.  Educate global development teams on state-of-the-art best practices in prompt engineering.  Help diagnose and resolve issues with production prompts.  Work with customer-facing stakeholders to capture customers' goals for generative AI applications.  Refine prompts to generative AI systems to achieve customer goals.  Build software tools and prototypes to help compare alternative solutions.  Collect and present quantitative analysis on solution success.  Consult with Machine Learning Engineers for more challenging problems.  Help evaluate evolving AI-based tools from other members of the Research team.  Collect data to refine solutions, models, and analysis frameworks.  Coordinate with internal domain experts and data labeling teams to build datasets.  Stay informed about new advances in prompt engineering. 

Required

 BS in technology-related field such as computer science, business intelligence/analytics, or finance.  Three years' work experience in a technology-related industry or position.  Familiarity with best practices in prompt engineering, to include differences in prompts between major LLM vendors.  Ability to develop and maintain good working relationships with cross-functional teams.  Ability to clearly communicate and present to internal and external stakeholders.  Experience with Python and at least one web app framework for prototyping, e.g., Streamlit or Flask. 

Preferred

 Basic AWS resource management, including microservice deployment.  Containerization via Docker.  Awareness of basic data science and generative AI methods.  Exposure to generative AI application frameworks like LangChain, LlamaIndex, and griptape. 

About NICE

NICE Ltd. (NASDAQ: NICE) software products are used by 25,000+ global businesses, including 85 of the Fortune 100 corporations, to deliver extraordinary customer experiences, fight financial crime and ensure public safety. Every day, NICE software manages more than 120 million customer interactions and monitors 3+ billion financial transactions. 

Known as an innovation powerhouse that excels in AI, cloud and digital, NICE is consistently recognized as the market leader in its domains, with over 8,500 employees across 30+ countries. 

NICE is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, age, sex, marital status, ancestry, neurotype, physical or mental disability, veteran status, gender identity, sexual orientation or any other category protected by law.",,,,,Full-time,"Sandy, UT",571.0,1734122713000,,1753.0,https://www.linkedin.com/jobs/view/4098338877/?trk=jobs_biz_prem_srch,https://boards.eu.greenhouse.io/nice/jobs/4494015101?gh_jid=4494015101&source=LinkedIn,OffsiteApply,1744251972000,,Entry level,,1739618752000,boards.eu.greenhouse.io,0,FULL_TIME,,,1739999735
4101279875,99060746.0,AI Prompt Engineer - NLP,"Position : AI Prompt Engineer

Location : Mumbai

Overall Experience : 4 years

Must Have Skills

 Prompt Engineering - 3 Years Generative AI - 1 Years Should have minimum 1 year of experience in stakeholder management

Roles & Responsibilities

 Develop and optimize high-quality prompts for NLP applications. Conduct research and analyze state-of-the-art AI techniques to improve prompt generation models and algorithms. Implement and deploy AI models and algorithms in different departments, ensuring scalability, reliability, and performance. Collaborate with cross-functional teams to integrate prompt generation capabilities into existing NLP applications. Conduct experiments, analyze data, and provide insights to improve the performance and effectiveness of prompt generation models. Stay up-to-date with the latest advancements in AI and NLP research and apply relevant techniques to enhance prompt generation capabilities. Collaborate with stakeholders to gather requirements and translate them into technical specifications. Document and communicate research findings, methodologies, and technical specifications to team members and stakeholders.

Required Skills

 Strong proficiency in AI and NLP techniques, including deep learning, neural networks, and natural language processing. Solid understanding of machine learning algorithms and their applications in NLP. Proficiency in data analysis, statistical modeling, and experimental design. Familiarity with prompt generation techniques and algorithms. Strong problem-solving and analytical skills. Ability to work collaboratively in a team environment. Excellent communication and presentation skills. Ability to multitask and prioritize workload effectively. Strong attention to detail and a commitment to producing high-quality work.

(ref:hirist.tech)",,,,,Full-time,Mumbai Metropolitan Region,70.0,1734394838000,,355.0,https://www.linkedin.com/jobs/view/4101279875/?trk=jobs_biz_prem_srch,https://www.hirist.tech/j/ai-prompt-engineer-nlp-1411404.html?utm_source=LinkedIn&utm_medium=referral&utm_campaign=linkedin_apply&ref=linkedin,OffsiteApply,1741738853000,,Entry level,,1734394838000,www.hirist.tech,0,FULL_TIME,,,1739999812
