salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1,4151560508,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
2,4133682516,163800.0,,88200.0,YEARLY,USD,BASE_SALARY
3,4155804089,600000.0,,400000.0,YEARLY,INR,BASE_SALARY
4,4136123703,90000.0,,70000.0,YEARLY,GBP,BASE_SALARY
5,4155596665,600000.0,,400000.0,YEARLY,INR,BASE_SALARY
6,4133680626,163800.0,,88200.0,YEARLY,USD,BASE_SALARY
7,4145646117,1800000.0,,1000000.0,YEARLY,INR,BASE_SALARY
8,4137079782,163800.0,,88200.0,YEARLY,USD,BASE_SALARY
9,4133970635,,70.0,,HOURLY,USD,BASE_SALARY
10,4102626217,130000.0,,120000.0,YEARLY,USD,BASE_SALARY
11,4143623958,85.0,,75.0,HOURLY,USD,BASE_SALARY
12,4125195869,142142.25,,105780.0,YEARLY,USD,BASE_SALARY
13,4156604762,125000.0,,100000.0,YEARLY,USD,BASE_SALARY
14,4157304579,25000.0,,24000.0,YEARLY,GBP,BASE_SALARY
15,4119096057,95000.0,,75000.0,YEARLY,USD,BASE_SALARY
16,4149956256,130000.0,,120000.0,YEARLY,USD,BASE_SALARY
17,4133682517,163800.0,,88200.0,YEARLY,USD,BASE_SALARY
18,4167195417,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
19,4167195418,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
20,4167192735,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
21,4167196173,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
22,4131112253,70000.0,,50000.0,YEARLY,EUR,BASE_SALARY
23,4163829235,600000.0,,400000.0,YEARLY,INR,BASE_SALARY
24,4167835144,179640.0,,110520.0,YEARLY,USD,BASE_SALARY
25,4167190789,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
26,4166766720,600000.0,,400000.0,YEARLY,INR,BASE_SALARY
27,4167195421,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
28,4113226767,60000.0,,50000.0,YEARLY,EUR,BASE_SALARY
29,4163833125,600000.0,,400000.0,YEARLY,INR,BASE_SALARY
30,4086072602,150.0,,120.0,MONTHLY,CNY,BASE_SALARY
31,4158252918,75.0,,70.0,HOURLY,USD,BASE_SALARY
32,4167196175,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
33,4167191785,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
34,4086078056,150.0,,120.0,MONTHLY,CNY,BASE_SALARY
35,4168606640,188760.0,,88200.0,YEARLY,USD,BASE_SALARY
36,4163828916,600000.0,,400000.0,YEARLY,INR,BASE_SALARY
37,4167190792,180000.0,,110000.0,YEARLY,USD,BASE_SALARY
